Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-07-10,Jul,168.0,3007300302
2024-05-15,May,255.0,17002107502
2024-05-15,May,84.5,17002113702
2024-05-15,May,102.0,17002111902
2024-05-15,May,221.0,17002113602
2024-05-15,May,47.6,17002102502
2024-05-15,May,81.5,17002104102
2024-07-05,Jul,322.0,17002600902
2024-06-24,Jun,96.0,17002600202
2024-06-24,Jun,279.0,17002600602
2024-06-24,Jun,36.8,17002602302
2024-08-26,Aug,374.0,18207015002
2024-06-24,Jun,364.0,17002601202
2024-04-22,Apr,63.2,18343003002
2024-04-22,Apr,158.0,18337012102
2024-06-24,Jun,383.0,17002601302
2024-06-24,Jun,386.0,17002601902
2024-06-24,Jun,90.7,17002600102
2024-06-24,Jun,39.7,17002601101
2024-07-22,Jul,172.0,18207010002
2024-07-22,Jul,451.0,18207015002
2024-08-26,Aug,42.2,18207010002
2024-01-10,Jan,411.0,19006400402
2024-05-11,May,162.0,19006401420
2024-05-11,May,388.0,19006404502
2024-05-11,May,239.0,19006400102
2024-05-11,May,770.0,19006400402
2024-12-06,Dec,476.0,13001100102
2024-05-14,May,749.0,4001000302
2024-05-13,May,563.0,16003200202
2024-05-13,May,445.0,10000100302
2024-05-13,May,460.0,16003200102
2024-05-13,May,597.0,16003000302
2024-10-06,Oct,213.0,16003200202
2024-10-06,Oct,345.0,16003200102
2024-10-06,Oct,537.0,16001800302
2024-10-06,Oct,326.0,10000100302
2024-05-15,May,33.0,17002107402
2024-05-15,May,39.1,17002113002
2024-05-15,May,22.7,17002102102
2024-05-15,May,32.7,17002105402
2024-05-15,May,69.2,17002102302
2024-10-06,Oct,31.4,17002104102
2024-10-06,Oct,376.0,17002107502
2024-02-04,Feb,98.6,3006600102
2024-02-04,Feb,132.0,3007000402
2024-05-13,May,108.0,3006600102
2024-06-24,Jun,102.0,17002600302
2024-08-27,Aug,2660.0,18207000802
2024-08-27,Aug,705.0,18207002002
2024-10-06,Oct,396.0,16003000302
2024-10-06,Oct,385.0,16002700102
2024-11-06,Nov,241.0,4001000302
2024-11-26,Nov,208.0,19006404502
2024-11-26,Nov,340.0,19006401420
2024-11-26,Nov,155.0,19006400102
2024-04-22,Apr,79.3,18349002002
2024-04-22,Apr,196.0,18369001002
2024-09-23,Sep,46.6,18207014502
2024-10-06,Oct,31.2,17002102102
2024-10-06,Oct,77.9,17002111902
2024-10-06,Oct,67.6,17002102502
2024-06-24,Jun,470.0,17002602502
2024-06-24,Jun,75.0,17002600402
2024-06-24,Jun,183.0,17002600702
2024-06-24,Jun,498.0,17002600902
2024-04-06,Apr,93.0,3007600402
2024-04-06,Apr,267.0,3007600502
2024-07-10,Jul,78.2,3007600602
2024-10-06,Oct,643.0,10000200202
2024-05-22,May,172.0,6007602202
2024-05-22,May,153.0,6007600402
2024-05-22,May,160.0,6007605002
2024-03-04,Mar,181.0,6006300102
2024-06-24,Jun,83.1,17002153802
2024-04-22,Apr,211.0,18000017002
2024-04-22,Apr,75.8,18343000202
2024-07-23,Jul,503.0,18207002002
2024-10-06,Oct,25.2,17002113002
2024-10-06,Oct,35.2,17002102302
2024-10-06,Oct,198.0,17002113602
2024-10-06,Oct,91.8,17002113702
2024-10-06,Oct,20.9,17002107402
2024-10-06,Oct,39.5,17002105402
2024-07-17,Jul,30.4,17002113002
2024-07-17,Jul,96.7,17002111902
2024-07-17,Jul,20.7,17002105402
2024-10-09,Oct,358.0,4001000302
2024-07-24,Jul,259.0,17002601202
2024-07-24,Jul,125.0,17002600302
2024-07-24,Jul,288.0,17002600602
2024-05-13,May,191.0,3007000502
2024-05-13,May,124.0,3007000302
2024-05-13,May,125.0,3007300302
2024-05-13,May,129.0,3007300202
2024-04-23,Apr,45.9,18343052002
2024-09-09,Sep,673.0,10000200202
2024-04-23,Apr,41.5,18343023002
2024-04-23,Apr,20.3,18343061002
2024-04-23,Apr,64.3,18343000102
2024-05-27,May,55.7,18349002002
2024-05-27,May,92.7,18343003002
2024-05-27,May,166.0,18337012102
2024-07-17,Jul,28.2,17002102102
2024-07-17,Jul,13.9,17002104102
2024-07-17,Jul,144.0,17002102302
2024-07-23,Jul,1030.0,18207000802
2024-07-24,Jul,477.0,17002601302
2024-07-24,Jul,79.2,17002600202
2024-07-24,Jul,528.0,17002602502
2024-07-24,Jul,79.5,17002600102
2024-07-24,Jul,20.2,17002602302
2024-07-24,Jul,136.0,17002600402
2024-07-24,Jul,98.8,17002600702
2024-07-24,Jul,314.0,17002601902
2024-07-24,Jul,42.7,17002601101
2024-09-09,Sep,612.0,16001800302
2024-09-09,Sep,84.2,16002700102
2024-09-09,Sep,819.0,10000100302
2024-09-09,Sep,247.0,16003200202
2024-09-09,Sep,302.0,16003200102
2024-05-13,May,73.0,3007701302
2024-02-07,Feb,128.0,3006600102
2024-02-07,Feb,235.0,3007300202
2024-02-07,Feb,114.0,3007600302
2024-02-07,Feb,287.0,3007600502
2024-04-06,Apr,99.7,3007600302
2024-06-08,Jun,179.0,3007600502
2024-07-10,Jul,136.0,3007000502
2024-07-10,Jul,125.0,3007000302
2024-05-27,May,159.0,18369001002
2024-05-28,May,99.6,18343052002
2024-08-14,Aug,209.0,17002107402
